&c.	etc.
fay	faith
'feard	afeard
feard	feared
feareth	fears
fearfnlly	fearfully
fearfu'	fearful
fearfull'st	fearfullest
fear'st	fearest
feather-bed	featherbed
fecks	faith
FEDALLAH	Fedallah
feedeth	feeds
feed'st	feedest
feelin	feeling
feelin'	feeling
feelin's	feelings
feel'st	feelest
fehemently	vehemently
feith	faith
feller	fellow
feller-niggers	fellow-negroes
fellers	fellows
feller's	fellow's
fellow-creaturs	fellow-creatures
fellow-creatur's	fellow-creature's
fellow-critters	fellow-creatures
fellow'st	fellowest
fell'st	fellest
felt'st	feltst
'fended	offended
fendin'	fending
ferce	fierce
fery	very
'fess	confess
fet	fetched
fetchin'	fetching
fetterin'	fettering
feyther	father
feyther's	father's
fidgetting	fidgeting
fidgetty	fidgety
field-bed	fieldbed
field-Marshal	field-marshal
fiend-like	fiendlike
fifty-pun'	fifty-pound
fighteth	fights
fightin'	fighting
fight'st	fightest
figurin'	figuring
filleth	fills
fillin'	filling
fillys	fillies
fin-Back	fin-back
fin-Backs	fin-backs
fin-Back's	fin-back's
find'st	findest
fingre	finger
fingres	fingers
firago	virago
fire-drake	firedrake
fire-side	fireside
firin'	firing
first-born	firstborn
first-fruits	firstfruits
fish-e	fish
fishermon	fisherman
fishes	fish
fish-ponds	fishponds
fisnomy	physiognomy
fitteth	fits
fitt'st	fittest
five-fold	fivefold
flame-colored	flame-coloured
flap-dragon	flapdragon
flap-jacks	flapjacks
FLASK	Flask
flat-long	flatlong
flatter'st	flatterest
flavored	flavoured
fledgelings	fledglings
fledst	fleddest
fleet'st	fleetest
fler	fellow
fler'll	fellow'll
flieth	flies
floatin'	floating
flood-gate	floodgate
flood-gates	floodgates
flourisheth	flourishes
flourishin'	flourishing
flow'rs	flowers
fly-blown	flyblown
flyin'	flying
foamin'	foaming
focative	vocative
foetid	fetid
fole	fool
folks's	folks'
follerers	followers
follerer's	follower's
followedst	followedest
follow'st	followest
folly-fall'n	folly-fallen
foolin	fooling
foolin'	fooling
foot-path	footpath
'for	before
forard	forward
for'ard	forward
forards	forward
forbad	forbade
forbod	forbad
forborne	forborn
'fore	before
fore-foot	forefoot
forego	forgo
foregoing	forgoing
fore-going	forgoing
foregone	forgone
'forehand	beforehand
fore-knowledge	foreknowledge
fore-past	forepast
fore-recited	forerecited
foretel	foretell
fore-thinking	forthinking
forget'st	forgettest
forgetteth	forgets
forgettin'	forgetting
forgi'	forgive
forgie	forgive
forgi'e	forgive
forgiv	forgive
forgoers	foregoers
forgot	forgotten
form'd	formed
forrads	foreheads
forrard	forward
forrenner	foreigner
forsaketh	forsakes
fortni't	fortnight
fortune-teller	fortuneteller
forwards	forward
forwearied	forewearied
fosset-seller	fossett-seller
foster-brethren	foster-brothers
fought'st	foughtest
fould	fouled
foulks	folks
foul-mouthed	foulmouthed
foul-mouthed'st	foul-mouthedest
foul'st	foulest
found'st	foundest
four-in-Hand	four-in-hand
f'r	for
fra	from
fra'	from
frae	from
'fraid	afraid
frail'st	frailest
free-hearted	freehearted
free-Mason	free-mason
freend	friend
french	French
fresh-water	freshwater
fretten	fretted
frettin'	fretting
frever	forever
frolickin'	frolicking
froo	from
froo'	from
frough	from
frown'st	frownest
fructful	fruitful
frutify	fructify
fu'	full
fules	fools
fule's	fool's
full-grown	fullgrown
fulness	fullness
furder	further
furriners	foreigners
furrow'd	furrowed
fussin'	fussing
futher	further
g*d	god
G*d	God
GABBERLY	Gabberly
'gad	egad
'gainst	against
gal	girl
gallant'st	gallantest
gallopped	galloped
gallopping	galloping
gallowses	gallows
gals	girls
gal's	girl's
GAM	Gam
gambolling	gamboling
'gan	began
gar'd	garred
gardon	guerdon
GASTON	Gaston
gat	got
gather'd	gathered
gathereth	gathers
gaun	gone
gawded	gauded
gawds	gauds
gay-Head	gay-head
Gay-Header's	Gay-header's
gazeth	gazes
Geffrey	Geoffrey
gell	girl
gells	girls
gelt	gelded
gen	gened
gen'ally	generally
geniùs	genius
gen'l	general
gen'lemen	gentlemen
gen'lly	generally
gen'l'man	gentleman
gen'lman's	gentleman's
genlmen	gentlemen
gen'lmen	gentlemen
gen'lm'n	gentleman
gen'ly	generally
gentilman	gentleman
gentilmans	gentlemen
gentleman-like	gentlemanlike
gentlemens	gentlemen
gentle-woman	gentlewoman
GEORGE	George
George's-st	George's-st
GEORGY	Georgy
Ger	Her'
geten	got
gether	gather
gethered	gathered
getherin'	gathering
get'st	gettest
getten	got
gettin	getting
gettin'	getting
gett'st	gettest
gev	give
gi'	give
giant-like	giantlike
gie	give
gi'e	give
gi'en	given
gies	gives
gi'es	gives
gie't	give't
gi'in	giving
gild'st	gildest
Giles-o'-lanthorn	Giles-o'-lanthorn
gillyvors	gillyflowers
'gin	begin
gi'n	given
gin'ral	general
'gins	begins
gin't	given't
girnning	grinning
girt	girded
Gis	Jesu
git	get
gittin	getting
giv	give
giv'	give
give-a	give
giveth	gives
givin	giving
givin'	giving
giv'n	given
gladden'd	gladdened
GLEIG	Gleig
glideth	glides
glose	gloze
Glo'ster	Glo'ster
glow-worm	glowworm
glow-worm's	glow's
glow-worms	glowworms
goa	go
goan	gone
goas	goes
gobern	govern
god-daughter	goddaughter
goen	gone
goeth	goes
goin	going
goin'	going
goins-on	goings-on
Goliases	Goliaths
GONERIL	Goneril
good-by	good-bye
good-natur'd	good-natured
goodness'	goodness's
good-will	goodwill
gooid	good
goot	good
gospelled	gospeled
gossipping	gossiping
gossippings	gossipings
go'st	goest
goth	goes
gots	gets
Got's	God's
got'st	gottest
gotten	got
governor-General	governor-general
governor-General's	governor-general's
gownd	gown
gownds	gowns
gra-a-anadeers	grenadiers
graff	graft
graft	grafted
graft'st	graftest
gramercies	gramercy
gran	grand
gran'	grand
grand-children	grandchildren
granteth	grants
grant'st	grantest
grat	gratted
gravelled	graveled
grave-maker	gravemaker
graven	graved
grave-stone	gravestone
gray	grey
greatness'	greatness's
great'st	greatest
'gree	agree
'greed	agreed
'greeing	agreeing
green-a	green
green-sickness	greensickness
GREENWOOD	Greenwood
greeteth	greets
GREGORY'S	Gregory's
grew'st	grewest
grey	gray
greybeards	graybeards
griped	gripped
grisled	grizzled
Grissel	Griselda
groaneth	groans
groon	groan
gropin	groping
ground-plot	groundplot
ground-work	groundwork
grovelled	groveled
grovelling	groveling
grow'd	growed
groweth	grows
grow'st	growest
grund	ground
gud	good
gude	good
gudewife	goodwife
guest-wise	guestwise
guid	guide
gulpins	gulpings
g'uttons	gluttons
guv'ner	governor
gwine	going
ha!	ha
HAB	Hab
hadna	hadn't
had'nt	hadn't
hae	have
hæ	have
hae't	have't
hagh	how
hah	how
hahse	house
hahsiver	howsoever
hahsomdiver	howsoever
ha'in'	having
ha'ing	having
haint	haven't
hain't	haven't
hair-breadth	hairbreadth
hair's-breadth'	hair's-breadth's
ha'it	have't
HALEY	Haley
half-moon	halfmoon
halfpence	halfpennies
half-pence	halfpennies
hallo	halloa
halloing	hallowing
hallow-Mass	hallow-mass
hame	home
HAMLET	Hamlet
HAMPSHIRE	Hampshire
han	have
hand-fast	handfast
handicrafts-men	handicraftsmen
handkercher	handkerchief
handkerchers	handkerchiefs
hand-writing	handwriting
hangeth	hangs
hang-Ho	hang-ho
hangin'	hanging
hang'st	hangest
hanna	haven't
ha'nt	haven't
han't	haven't
ha'n't	haven't
ha'n't	haven't
hany	any
ha'penny	halfpenny
hap-hazard	haphazard
ha'porth	halfpenny-worth
hap'orth	halfpenny-worth
ha'porths	halfpennyworths
happed	happened
harbor	harbour
hard-handed	hardhanded
HARDY	Hardy
hare-brained	harebrained
hare-lip	harelip
Ha'rford-west	Hartford-west
Haribee-broo'	Haribee-broo'
HARRIET	Harriet
HARRIS	Harris
Harris's	Harris'
har'st	harvest
harvest-man	harvestman
hasna	hasn't
haste-posthaste	haste-post-haste
hasteth	hastes
ha't	have't
hatchin'	hatching
hateth	hates
hauding	holding
hauf	half
hav	have
haveing	having
havena	haven't
havin	having
havin'	having
havin'	having
haviour	behaviour
havn't	haven't
hav'n't	haven't
hav'n't	haven't
HAWTHORNE	Hawthorne
hay-Seed	hay-seed
hazle	hazel
headach	headache
head-aches	headaches
headachs	headaches
headlongs	headlong
head-piece	headpiece
head-pieces	headpieces
head-spring	headspring
head-stall	headstall
headstone	headstone's
healeth	heals
heap'st	heapest
heard'st	heardest
heareth	hears
hearin	hearing
hearken	harken
hearkenin'	hearkening
hearkening	harkening
hearn	heard
hear'st	hearest
heart-ache	heartache
heart-break	heartbreak
heart-burning	heartburning
heart-grief	heartgrief
heart-sore	heartsore
heart-string	heartstring
heart-struck	heartstruck
heaveth	heaves
heavy-headed	heavyheaded
heawse	house
heedfull'st	heedfullest
heelin'	heeling
heerd	heard
heern	heard
heggs	eggs
HEIDELBURGH	Heidelburg
heighth	height
heigth	heighth
he'ld	he'd
hell-born	hellborn
hell-hound	hellhound
hell-hounds	hellhounds
help'd	helped
helpin'	helping
help'st	helpest
helter-Skelter	helter-skelter
hemp-seed	hempseed
henderin'	hindering
HENRIQUE	Henrique
HENRY	Henry
herb-woman	herbwoman
herdmen	herdsmen
hereabouts	hereabout
hereself	herself
HERMAN	Herman
her's	hers
hersel	herself
hersel'	herself
hersell	herself
hersen	herself
heself	himself
HETTY'S	Hetty's
hev	have
hevn't	haven't
hey	heigh
hey-day	heyday
Hibocrates	Hippocrates
hielands	highlands
high-born	highborn
highness'	highness's
high'st	highest
high-swoln	high-swollen
hild	held
hilloa	hillo
himsel	himself
himsell	himself
'hind	behind
'Hio	Ohio
his'n	his
hissel	himself
hisself	himself
hisseln	himself
hist'ry	history
hitherwards	hitherward
ho!	ho
hoary-headed	hoaryheaded
HOBART	Hobart
hobby-horse	hobbyhorse
hof-Marschall	hof-marschall
'hogany mahogany
hoise	hoist
hoised	hoist
hoisted	hoist
holden	held
holdeth	holds
hold-fast	holdfast
holdin'	holding
hold'st	holdest
holla'd	hallowed
hollaing	hallowing
holloa	hallow
holloa'd	hallowed
hollodays	holidays
hollow-hearted	hollowhearted
holp	helped
holp'st	helpedest
holydays	holidays
Holy-rood	Holyrood
home-bred	homebred
homewards	homeward
homlets	omelettes
hond	hound
honey-bees	honeybees
honey-drops	honeydrops
honor	honour
honorable	honourable
honored	honoured
honoring	honouring
honors	honours
honour'd	honoured
hoo	ho
hoo'd	who'd
hood-wink'd	hoodwinked
hoo-Hall	hoo-hall
hoo's	who's
hopless	hopeless
hopp'd	hopped
hoppin'	hopping
Horrocks's	Horrocks'
horrud	horrid
horse-Guards	horse-guards
horse-hairs	horsehairs
horse-leeches	horseleeches
horse-Quarter	horse-quarter
horse-shoe	horseshoe
horse-tail	horsetail
horse-way	horseway
hoss	horse
hosses	horses
hostess'	hostess's
hot-house	hothouse
hould	hold
houlerying	hollering
hour-glass	hourglass
house-room	houseroom
hous'ever	howsoever
hove	heaved
hove-to	heaved-to
howd	hold
howe	how
howe'er	however
howiver	however
howl'st	howlest
howsever	howsoever
hows'ever	howsoever
Hows'ever	Howsoever
howsoe'er	howsoever
howsome'er	howsoever
howsomever	howsoever
hoyday	heyday
hugger-mugger	huggermugger
humble-bee	humblebee
humor	humour
humors	humours
humph!	humph
hunch-backed	hunchbacked
hunteth	hunts
huntress'	huntress's
hup	up
hup'ards	upwards
hupstarts	upstarts
hurricanoes	hurricanes
hurtin'	hurting
hush'd	hushed
huswifery	housewifery
hve	have
hwhat's	what's
HYMEN	Hymen
i'	I
ice-brook's	ice's
ICELAND	Iceland
idee	idea
idle-headed	idleheaded
i'faith	faith
'Ighness	Highness
i'ii	I'll
'ike	ike
ilbow	elbow
I'ld	I'd
'ild	yield
ile	oil
ilka	ilk
ill-headed	ill-head
illhumour	ill-humour
ill-natur'd	ill-natured
ill-ta'en	ill-taken
illumineth	illumines
'I'm	I'm
impanelled	impaneled
impanneled	impaneled
imparteth	imparts
imperilled	imperiled
impinge	impinging
importancy	importance
importeth	imports
impudency	impudence
I'n	I've
incardinate	incarnate
Inch-Grabbit	Inch-grabbit
inch-meal	inchmeal
inclose	enclose
inclosed	enclosed
inclosing	enclosing
inclosures	enclosures
incommóded	incommoded
increaseth	increases
incumbrance	encumbrance
incumbrances	encumbrances
incuring	incurring
in-deed	indeed
in-doors	indoors
indrenched	endrenched
indue	endue
indued	endued
indues	endues
indurance	endurance
infatyated	infatuated
inferreth	infers
infold	enfold
inforced	enforced
ingin	indian
inions	onions
inkwhich'd	inkwhiched
innercent	innocent
innured	enured
insconce	ensconce
insculped	ensculpted
insinuateth	insinuates
insistes	insists
instructin'	instructing
int'	into
intendeth	intends
intend'st	intendest
interessed	interested
interestin'	interesting
interferin'	interfering
inter'gatories	interrogatories
inter'gatory	interrogatory
interrupt'st	interruptest
intirely	entirely
intituled	entitled
intreat	entreat
intreaties	entreaties
intrenched	entrenched
int'rests	interests
introjuicing	introducing
intructions	instructions
intrusted	entrusted
intuh	into
inuendoes	innuendoes
inuendo's	innuendoes
inveigleth	inveigles
inwards	inward
ISABELLA	Isabella
Isbels	Isabels
Isbel's	Isabel's
ish	is
ISHMAEL	Ishmael
isna	isn't
is'nt	isn't
istead	instead
i'stead	instead
i'stid	instead
it'	it
ith	is
i'th'	i'th
itsseln	itself
iudulgencies	indulgencies
Iv'e	I've
iver	ever
ivery	every
iverybody'll	everybody'll
iverythin'	everything
iverything	everything
JACK	Jack
Jack-a-Lent	Jack-a-lent
jackalls	jackals
jack-an-ape	jackanapes
jack'nape	jackanapes
jack-towelling	jack-toweling
JAGO'S	Jago's
JAMES	James
James's	James'
janizzaries	janissaries
JARNDYCE	Jarndyce
jarteer	garter
jav'lins	javelins
jaw-bone	jawbone
jawin'	jawing
Jeames's-square	James's-square
JEMIMA	Jemima
JEROBOAM'S	Jeroboam's
jes	just
Jeshu	Jesu
Jesu	Jesus
jewelled	jeweled
jewess'	jewess's
JEWETT	Jewett
jew'llery	jewelry
jined	joined
jis	just
jist	just
jockied	jockeyed
JOHN	John
joineth	joins
join'st	joinest
joint-stool	jointstool
jokin	joking
jolt-head	jolthead
joltheads	jolt-heads
JONAH	Jonah
jonas-in-the-Whale	jonas-in-the-whale
joosy	juicy
JOS	Jos
JO'S	Jo's
JOSEPH	Joseph
Joseph's'	Joseph's
Joth'phine	Jothphine
journies	journeys
joyin'	joying
Jud-as	Judas
judgeth	judges
judgment	judgement
jumpeth	jumps
jumpin'	jumping
justice'	justice's
justs	jousts
Katharine's	Katherine's
keenning	keening
keepin'	keeping
keep'st	keepest
kend	kenned
kenn'd	kenned
kennelled	kenneled
Kentuck	Kentucky
KENTUCK	Kentucky
kep	kept
kept'st	keptest
ketch	catch
ketches	catches
kettle-drum	kettledrum
key-hole	keyhole
kickin'	kicking
kickshawses	kickshaws
kill-e	kill
killedst	killedest
killen	kill
killeth	kills
killin'	killing
kill'st	killest
kindhearted	kind-hearted
kindness'	kindness's
kind'st	kindest
kine	cows
king-Post	king-post
Kintuck	Kentucky
KirkChrist	Kirkchrist
KIT	Kit
kitchen-Stuff	kitchen-stuff
kitchin	kitchen
knelt	kneeled
knew'st	knewest
knitted	knit
knitteth	knits
knittin'	knitting
knockin'	knocking
knot-grass	knotgrass
knowd	knew
know'dst	knewest
knowed	known
knoweth	knows
knowin'	knowing
know'st	knowest
knuekles	knuckles
kyloes	kylos
l’Écossaise	l’écossaise
labelled	labeled
labor	labour
labored	laboured
laboring	labouring
labors	labours
labor-saving	labour-saving
labourine	labouring
labour'st	labourest
'lack	alack
lack-lustre	lacklustre
lack'st	lackest
laden	loaded
lady-like	ladylike
laid'st	laidest
laiking	liking
'laith	laith
lament'st	lamentest
lanceth	lances
lang	long
langer	longer
langest	longest
langour	languor
languisheth	languishes
lanthorn	lantern
larming	learning
larn	learn
larnin	learning
l'arnin'	learning
larning	learning
larnt	learned
larum	alarm
'larum	alarm
'larum-bell	alarm-bell
'larums	alarms
LASCAR	Lascar
La'ship	Ladyship
latin	Latin
laugheth	laughs
laughin'	laughing
laugh'st	laughest
laund	land
Laurence'	Laurence's
lavin'	laving
law-breaker	lawbreaker
law-List	law-list
Lawrence	Laurence
law-Writing	law-writing
layed	laid
layeth	lays
layin'	laying
layn	lain
lay'st	layest
leaded	led
Leaden'all	Leaden'all
leadeth	leads
lead'st	leadest
leant	leaned
leaped	leapt
leap-frog	leapfrog
leapin'	leaping
learnd	learned
learnt	learned
leavin'	leaving
'lection election
led'st	leddest
leeding	leading
leese	lose
leetle	little
'leges	alleges
leived	believed
len'	lend
lendeth	dares
lenght	length
lente	leaned
Leo-natus	Leonatus
LEONATUS	Leonatus
Lestrale	Lestrake
let-a	let
let'st	lettest
letten	let
lettin'	letting
lettrs	letters
leuked	looked
leve	leave
levelled	leveled
levelling	leveling
Leviathan	Levia
levre	lever
libbard's	leopard's
libelling	libeling
lick'st	lickest
Lick-the-Ladle	Lick-the-ladle
lien	lain
lieth	lies
lieut	lieutenant
lieutenant-Colonel	lieutenant-colonel
lieutenant-Colonels	lieutenant-colonels
lieutenant-General	lieutenant-general
life-blood	lifeblood
life-Buoy	life-buoy
life-time	lifetime
liftin'	lifting
light-colored	light-coloured
lightening	lightning
lighteth	lights
light-foot	lightfoot
likedst	likedest
likin'	liking
lik'st	likest
lime-kiln	limekiln
limekilns	lime-kilns
LINCOLNSHIRE	Lincolnshire
liquor	liquour
liquors	liquours
LISBETH	Lisbeth
lissom'st	lissomest'
'listed	enlisted
listeth	lists
littl'	little
little-a	little
'live	alive
livedst	livedest
liveth	lives
livin'	living
liv'st	livest
lkie	like
'll	will
loaden	loaded
loike	like
loikes	likes
LONDON	London
'long	along
long-a	long
'longed	belonged
'longeth	belongs
long-favored	long-favoured
'longing	belonging
LONG-ISLAND	Long-Island
'longs	belongs
'longside	alongside
long'st	longest
long-tail	longtail
Lon'on	London
'loo	halloo
look'd	looked
look'dst	lookedest
look-e	look
lookedst	lookedest
looketh	looks
lookin	looking
lookin'	looking
look-out	lookout
lookst	lookest
look'st	lookest
loop-holes	loopholes
loose-Fish	loose-fish
loosing	losing
loove's	love's
lor	lord
lor'	lord
loseth	loses
losin'	losing
loth	loath
'lotment allotment
loud'st	loudest
louis-Quatorze-gimcracks	louis-quatorze-gimcracks
loureth	lours
lour'st	lourest
lov'd	loved
love-a	love
lovedst	lovedest
love-letters	loveletters
love-sick	lovesick
love-songs	lovesongs
loveth	loves
love-Truths	love-truths
lovin'	loving
loyal'st	loyalest
Lucrece'	Lucrece's
lurketh	lurks
lusts	lustest
lute-string	lutestring
L've	I've
lym	lyam
lyon	lion
M‘Drone	M'Drone
ma'	make
ma'am	madam
Ma'amselle	Mademoiselle
MAB	Mab
mabbe	maybe
mach	much
MACKENZIE	Mackenzie
MACY	Macy
mad-brain	madbrain
mad-brained	madbrained
mad-headed	madheaded
mad'st	madest
mae	more
maggit's	maggot's
'magine	imagine
ma'in'	making
maine	main
mained	maimed
main-top	maintop
mair	more
maist	mayest
maister	master
maisters	masters
maister's	master's
majestee	majesty
major-General	major-general
mak	make
mak'	make
make-a	make
maketh	makes
makin'	making
makking	making
maks	makes
malecontent	malcontent
malic	malice
MALL	Mall
MALTESE	Maltese
MALVOLIO	Malvolio
mammas	mamas
Ma'mselle	Mademoiselle
man-child	manchild
manifactures	manufactures
man-like	manlike
manœuvred	manoeuvered
man-of-War's	man-of-war's
manor-House	manor-house
man-queller	manqueller
mantle-piece	mantlepiece
MANX	Manx
MAPPLE	Mapple
marble-hearted	marblehearted
marchant	merchant
marcheth	marches
marcies	mercies
marcy	mercy
MARDI	Mardi
Margar't	Margaret'
mar'ge	marriage
margent	margin
margents	margins
mar'ied	married
'markably	remarkably
mark'd	marked
marketh	marks
mark-man	markman
'marks	remarks
marning	morning
marquess	marquis
marriage-bed	marriagebed
marr'in'	marrying
marr'ing	marrying
marryin	marrying
marshalled	marshaled
marshalling	marshaling
marshall'st	marshalest
MARTHA	Martha
marvelled	marveled
marvelling	marveling
marvell'st	marvelest
MARY	Mary
ma'-shift	makeshift
mas'r	master
Mas'r	Master
mas'r'll	master'll
mas'rs	masters
mas'r's	master's
masse	mass
masterfu'	masterful
master-pieces	masterpieces
mast-Head	mast-head
matcheth	matches
match-making	matchmaking
mater'als	materials
math'matics	mathematics
mat-Maker	mat-maker
matter-a	matter
MATTHEW	Matthew
maun	must
mayna	mayn't
mayst	mayest
may'st	mayest
'mazin'	amazing
meagre	meager
meaneth	means
mean'st	meanest
meant'st	meantest
measter's	master's
mebbe	maybe
med'cinable	medicinable
meditatin'	meditating
meet-a	meet
meetin	meeting
meetin'	meeting
meeting-place	meetingplace
meetin's	meeting's
meet'st	meetest
meks	makes
melancholly	melancholy
'Melia's	Amelia's
melo-dramas	melodramas
melo-dramatic	melodramatic
melteth	melts
meltin'	melting
MELVILLE	Melville
'member	remember
mementoes	mementos
memoranda	memorandum
memorandums	memoranda
memorize	memorise
menage	manage
mendin'	mending
men-of-War	men-of-war
mens'	men's
menservants	manservants
'mergency	emergency
merks	marks
'Merrica	America
mervailous	marvelous
mesdames	madames
mesters	masters
Methodies'	Methodists'
Methodisses	Methodists
Methody	Methodist
Methodys	Methodists
methoughts	methought
met'orological	meteorological
met'st	mettest
MICHAEL	Michael
MICHAEL'S	Michael's
Mich'lmas	Michaelmas
mickle	much
'mid	amid
mid-day	midday
mightst	mightest
might'st	mightest
milch-kine	milk-cows
mile'	miles
mile-a	mile
milk-House	milk-house
milk-sop	milksop
milk-white	milkwhite
milor	milord
mi-Lord	mylord
min	man
min'	man
minit	minute
minsthrel	minstrel
mis'able	miserable
misbegot	misbegotten
misdoubteth	misdoubts
mis-dread	misdread
mis'ess	mistress
misfortanes	misfortunes
mis-judging	misjudging
mis-judgment	misjudgment
mislikins	mislikings
mis'rable	miserable
misse	miss
misshaped	misshapen
missin'	missing
missis'	missis's
missus	missis
mista'en	mistaken
mistaketh	mistakes
mistak'st	mistakest
mis-termed	mistermed
mistres	mistress
mistress'	mistress's
mistresship	mistress-ship
mitch	much
mlud	milord
M'M	M'm
MOBY	Moby
Moby-Dick	Moby-dick
MOBY-DICK	Moby-Dick
moche	much
mock'st	mockest
mockvater	mockwater
modelled	modeled
modelling	modeling
mod'rn	modern
moe	more
moin	mine
molten	melted
'molument	emolument
'mong	among
'mongst	among
monies	moneys
MONTAIGNE	Montaigne
mony	money
moralize	moralise
moreo'er	moreover
morever	moreover
mor'n	more-than
mornin'	morning
MORRIS	Morris
mosquitos	mosquitoes
mosse	moss
mother-wit	motherwit
mottos	mottoes
mought	might
mouldeth	moulds
moulten	moulted
mounteth	mounts
mourn'd	mourned
mouse-trap	mousetrap
mousquetaires	musketeers
mout	mouth
moveable	movable
moveables	movables
moveth	moves
Moyses	Moses
mr	Mr.
Mr	Mr.
mr.	Mr.
mrs	Mrs.
Mrs	Mrs.
mrs.	Mrs.
muh	may
muleters	muleteers
mumn't	mustn't
mun	must
munna	mustn't
munn't	mustn't
mun'n't	mustn't
munny	money
murder'd	murdered
murder'st	murderest
murd'ring	murdering
murmur'st	murmurest
murther	murder
murthering	murdering
Muscovits	Muscovites
mush	much
musket's-Mother	musket's-mother
musn't	mustn't
mus'n't	mustn't
mustna	mustn't
mutine	mutiny
mutiners	mutineers
mutsn't	mustn't
mutter'd	muttered
mysel	myself
mysel'	myself
mysell	myself
'n	him
na'	not
nae	no
naebody	nobody
naething	nothing
nah	no
naig	nag
naigs	nags
naïIvely	naïively
nailes	nails
nane	none
NANTUCKET	Nantucket
narrowin'	narrowing
NATHAN	Nathan
NATHANIEL	Nathaniel
nathless	natheless
nathlesses	natheless
Native-Hindoo	native-Hindoo
nat'lly	naturally
'natomy	anatomy
nat'ral	natural
nat'rally	naturally
natur	nature
natur'	nature
natur's	nature's
naught	nought
nayther	neither
nayver	never
nd	and
near'st	nearest
neat-herds	neatherds
neat-herd's	neatherd's
neaw	now
nebour	neighbour
neebors	neighbours
needeth	needs
needna	needn't
need'st	needest
neeght	night
neele	needle
ne'er	never
ne'erchanging	never-changing
ne'er-cloying	never-cloying
ne'er-do-good	never-do-good
ne'er-do-weel	never-do-well
neerest	nearest
ne'er-lust-wearied	never-lust-wearied
neerly	nearly
ne'ertheless	nevertheless
ne'er-touched	never-touched
ne'er-yet-beaten	never-yet-beaten
neglect'st	neglectest
negociating	negotiating
neighbor	neighbour
neighbored	neighboured
neighboring	neighbouring
neighbors	neighbours
neightbours	neighbours
NELL	Nell
nereides	nereids
nett	net
nevare	never
nevvy	nephew
new-come	newcome
new-fall'n	new-fallen
new-fangled	newfangled
new-found	newfound
news-Letter	news-letter
new'st	newest
new-ta'en	new-taken
night-bird	nightbird
night-cap	nightcap
night-caps	nightcaps
night-gown	nightgown
night-Hag	night-hag
night-mare	nightmare
night-walking	nightwalking
night-watch	nightwatch
night-Watch	nightwatch
nill	won't
nine-fold	ninefold
niver	never
nivir	never
n-no	no
no!	no
noa	not
noabody	nobody
nob'dy	nobody
no-bodies	nobodies
'noculation innoculation
nod-Ay	nod-ay
noder	another
'nointed	anointed
n'old	wouldn't
non-existence	nonexistence
non-payment	nonpayment
noo	no
noon-day	noonday
nor'	north
nor'ard	northward
'normously	enormously
north'ard	northward
north-east	northeast
north-west	northwest
north-West	northwest
nor-Westers	nor-westers
note-book	notebook
noteth	notes
'nother	another
nother	neither
nothin	nothing
nothin'	nothing
nothink	nothing
not'ing	nothing
nough	enough
nourisheth	nourishes
nousle	nuzzle
now-a-days	nowadays
nowhar	nowhere
nowheres	nowhere
nowt	nought
n't	not
nto	unto
'nuity annuity
nuncio's	nuntio's
nurseth	nurses
nursh-a	nurse
nussin'	nursing
nuthook's	nut-hook's
nymphes	nymphs
o'	of
o	oh
'oax	hoax
'obby hobby
ober	over
obeyed'st	obeyedest
obleeged	obliged
obleeging	obliging
oblig'd	obliged
observancy	observance
occassion	occasion
O'D	O'd
oder	other
odor	odour
odors	odours
'Od's	God's
o'er	over
o'erbear	overbear
o'erbearing	overbearing
o'erbears	overbears
o'erbeat	over-beat
o'erblows	overblows
o'erboard	overboard
o'erborne	overborne
o'ercame	overcame
o'ercast	overcast
o'ercharged	overcharged
o'ercharging	overcharging
o'ercloyed	overcloyed
o'ercome	overcome
o'ercount	overcount
o'ercovered	overcovered
o'ercrows	overcrows
o'erdoing	overdoing
o'erdusted	overdusted
o'erdyed	over-dyed
o'ereaten	over-eaten
oe'red	overed
o'ereye	over-eye
o'erfed	overfed
o'erflourished	overflourished
o'erflow	overflow
o'erflowed	overflowed
o'erflowing	overflowing
o'erflows	overflows
o'erfraught	overfraught
o'ergalled	overgalled
o'erglanced	overglanced
o'ergone	overgone
o'ergreat	over-great
o'ergreen	overgreen
o'ergrow	overgrow
o'ergrown	overgrown
o'ergrowth	overgrowth
o'erhang	overhang
o'erhanging	overhanging
o'erhasty	overhasty
o'erhear	overhear
o'erheard	overheard
o'erjoyed	overjoyed
o'erlaboured	over-labored
o'er-laboured	over-labored
o'erleap	overleap
o'erleaps	overleaps
o'erleavens	overleavens
o'erlook	overlook
o'erlooked	overlooked
o'erlooking	overlooking
o'ermasterest	overmasterest
o'ermatched	overmatched
o'ermount	overmount
o'ernight	overnight
o'ernight's	overnight's
o'erpaid	overpaid
o'erparted	overparted
o'erpast	overpassed
o'erpays	overpays
o'erpeer	overpeer
o'erperch	overperch
o'erpicturing	overpicturing
o'erposting	overposting
o'erpowered	overpowered
o'erpressed	overpressed
o'erprized	overprized
o'errate	overrate
o'erraught	overreached
o'erreach	overreach
o'erreaches	overreaches
o'erreaching	overreaching
o'erread	overread
o'errule	overrule
o'erruled	overruled
o'errules	overrules
o'errun	overrun
o'erruns	overruns
o'erset	overset
o'ershade	overshade
o'ershades	overshades
o'ershine	overshine
o'ershot	overshot
o'ershowered	overshowered
o'ersized	oversized
o'erskip	overskip
o'erslips	overslips
o'ersnowed	oversnowed
