&c.	etc.
a-starin'	staring
a-staring	staring
a-starn	astern
a-strapping	strapping
as'ull	as'll
a-swearing	swearing
a't	hast
a-talking	talking
atchieved	achieved
a-telling	telling
a'thegither	altogether
a-thievin'	thieving
a-thinking	thinking
Athley'th	Athley'th
athversary	adversary
atn't	aren't
a'top	atop
a-trembling	trembling
a-trying	trying
attendeth	attends
attend'st	attendest
attened	attended
a-turnin'	turning
aud	and
AUGUSTUS	Augustus
auld	old
aunchient	ancient
a-usin'	using
auther	author
autor	author
auy	any
ave	have
'ave	have
avised	advised
a-visitin'	visiting
AW	I
awa	away
awaketh	awakes
a-walking	walking
awanting	wanting
a-watering	watering
Aw'd	I'd
aweary	weary
aweel	well
a-weeping	weeping
awfu'	awful
a-whaling	whaling
awk'ard	awkward
Aw'll	I'll
Aw'm	I'm
awn	own
a-wooing	wooing
a-workin'	working
Aws	I'm
Aw's	I'se
awtered	altered
axed	asked
axle-tree	axletree
'ay hay
ay!	ay
'ay-and-corn hay-and-corn
ay-'arvest	hay-harvest
Ay'll	I'll
ayther	either
AZORE	Azore
'bacca	tobacco'
'bacca-box tobacco-box
back'	back
back'ard	backwards
back'ards	backwards
back-friend	backfriend
back-gammon	backgammon
back-ground	background
back'st	backest
bad'st	badst
baes	bahs
bag-piper	bagpiper
bah!'d	bah'd
baht	about
'baht	about
bakin'	baking
balck	black
baldrick	baldric
Balmaha'	Balmaha'
'balmed	embalmed
Balthasar	Balthazar
bamboo-Town	bamboo-town
'Ban	Caliban
banteing	bantering
b'ar	bear
bare	bore
bare-bone	barebone
bare-footed	barefooted
bare-headed	bareheaded
barketh	barks
bark'st	barkest
bar'ls	barrels
barne	bairn
barnes	barns
baron-Bailie	baron-bailie
barr'st	barrest
barthens	burdens
Barthol'mew	Bartholomew
base-born	baseborn
Ba'spiel	Ba'spiel
battalia	battalions
battaliam	battalion
battalliam	battalion
bauld	bald
baulder	balder
baulk	balk
bawdy-house	bawdyhouse
baynt	aren't
beam'd	beamed
beameth	beams
bearard	bear-herd
bear-baiting	bearbaiting
beareth	bears
bear'st	bearest
bear-ward	bearward
bear-Warden	bear-warden
beau-ti-ful	beautiful
beccare	bacare
beck'ning	beckoning
BECKY	Becky
bed-chamber	bedchamber
bed-clothes	bedclothes
bedevilling	bedeviling
bed-ridden	bedridden
bed-room	bedroom
bed-rumes	bedrooms
bed-time	bedtime
beean	began
BEECHER	Beecher
beetle-headed	beetleheaded
beeves	beefs
befal	befall
befel	befell
beflumm'd	beflummed
before-named	beforenamed
before-time	beforetime
began'st	begannest
beget'st	begettest
begg'st	beggest
beginnin'	beginning
begot	begotten
beguilnig	beguiling
behavedst	behavedest
behind-hand	behindhand
behold'st	beholdest
behoved	behooved
bein'	being
bejewelled	bejeweled
belabored	belaboured
belanging	belonging
beldam	beldame
beldams	beldames
beldam's	beldame's
be-lee'd	belee'd
BELFAST	Belfast
believeth	believes
belles	bells
bell-wether	bellwether
bellyfulls	bellyfuls
belubed	beloved
be-met	bemet
be-mete	bemete
be-monster	bemonster
bended	bent
bendin'	bending
be-netted	benetted
Ben-Lawers	Ben-lawers
BENTLEY	Bentley
benumb'd	benumbed
bequeath	bequeathe
bereaved	bereft
berkeley-Square	berkeley-square
Bermoothes	Bermudas
berrid	buried
berrin	burying
berry	very
berryin	burying
berrying	burying
BERTRAM	Bertram
bery	berry
beseech'	beseech
beseemeth	beseems
besides	beside
bespake	bespoke
bestead	besteaded
bestrode	bestrid
betideth	betides
betrayedst	betrayedest
betted	bet
betther	better
bettre	better
be-tumbled	betumbled
between-Brussels	between-brussels
between-whiles	betweenwhiles
betwigst	betwixt
bewidged	bewitched
'bide	abide
'bides	abides
bid'st	biddest
bigetun	begotten
bigitun	begotten
big-swoln	big-swollen
bilbow	elbow
'bility ability
bindeth	binds
binnaclewatch	binnacle
birth-day	birthday
birth-hour's	birth's
birth-right	birthright
bisness	business
bis'ness	business
biteth	bites
bitin'	biting
bivouacks	bivouacs
blacken'd	blackened
Black-Friars	Blackfriars
black'st	blackest
blazon'st	blazonest
bleedeth	bleeds
bleedn	bleeding
bleed'st	bleedest
B'leeve	Believe
blent	blinded
bless'd	blessed
blesseth	blesses
blessin'	blessing
blest	blessed
'blest	blest
b'lieve	believe
'blige	oblige
'bliged	obliged
blood-hound	bloodhound
blood-sucker	bloodsucker
blood-suckers	bloodsuckers
blood-sucking	bloodsucking
blood-thirsty	bloodthirsty
bloody-sceptered	bloody-sceptred
bloomin'	blooming
B'low-Bridge	B'low-Bridge
blow'st	blowest
blue-bottle	bluebottle
bluid	blood
bluidy	bloody
blustrous	blusterous
bo'	about
boath	both
bohemian-Tartar	bohemian-tartar
bold-faced	boldfaced
bold'st	boldest
boll'n	bollen
'bomination abomination
bond-slaves	bondslaves
bone-ache	boneache
booath	both
booke	book
bookin'	booking
book-men	bookmen
boot-hose	boothose
boozin'	boozing
bo-peep	bopeep
bore	boar
borne	born
borrow'dst	borrowedest
BOSTON	Boston
bottle-Nose	bottle-nose
bouge	budge
boun'	bound
boundeth	bounds
boundin'	bounding
Bourdeaux	Bordeaux
'bout	about
'bove	above
bowes	bows
bow-string	bowstring
bow-strings	bowstrings
braggards	braggarts
bran-new	brand-new
bravos	bravoes
brazen-face	brazenface
brazen-faced	brazenfaced
breaketh	breaks
breakin'	breaking
break-neck	breakneck
break'st	breakest
breatheth	breathes
bredren	brothers
bred'ren	brothers
breedeth	breeds
breff	brief
brethren	brothers
brethren's	brothers'
brew-house	brewhouse
brewin'	brewing
bribed-buck	bribe-bucked
brick-wall	brickwall
bride-bed	bridebed
bridle-bitts	bridle-bits
brieves	briefs
brigger	bigger
Briggs's	Briggs'
BRIGHTON	Brighton
brigness	bigness
bringeth	brings
bringin'	bringing
bring'st	bringest
BRIT	Brit
Brit-Ish	British
brocken	broken
brothe	broth
BROTHERTON	Brotherton
browt	brought
BRUSSELS	Brussels
brusts	bursts
Brute	Brutus
BRYANT	Bryant
'bserver	observer
builded	built
buildeth	builds
bull-calf	bullcalf
bullyin'	bullying
bung-hole	bunghole
burneth	burns
burnin	burning
burnin'	burning
burnt	burned
burs	burrs
burthen	burden
burthened	burdened
burthens	burdens
buryin'	burying
'bused	abused
busilest	busiest
busines	business
business'	business's
BUTE	Bute
butler'd	butlered
buyin'	buying
byegones	bygones
by-gone	bygone
byoo-ootiful	beautiful
by-past	bypast
by-paths	bypaths
by-words	bywords
ca'	call
cabine	cabin
Cacaliban	Caliban
ca'd	called
'cademy academy
Cadwallader	Cadwalader
'cagion	occasion
cahnt	cannot
cailliachs	cailliaches
cajolled	cajoled
calculatin	calculating
call'd	called
calledst	calledest
calleth	calls
callin'	calling
call'st	callest
calves'-guts	calf-guts
cancelled	canceled
cancelling	canceling
candle-holder	candleholder
candle-light	candlelight
cankerblossom	canker-blossom
can'le	candle
canna	cannot
cannót	cannot
cannut	cannot
CANNY	Canny
canonize	canonise
can'st	canst
canvass	canvas
canvassing	canvasing
cap'ain	captain
Capels	Capulets
Capels'	Capulets'
caperin'	capering
CAPILET	Capilet
cap'n	captain
cap'n	captain
cap'n's	captain's
captain'd	captained
capting	captain
carack	carrack
caracks	carracks
carawans	caravans
carcass	carcase
carcasses	carcases
card-maker	cardmaker
card-table	cardtable
careth	cares
car'ge	carriage
carieatures	caricatures
carle	carl
carles	carls
car'less	careless
caroll'd	caroled
carolled	caroled
carolling	caroling
carpenterin'	carpentering
carryin'	carrying
car's	carries
carte	cart
cas'alty	casualty
'casion	occasion
CASSY	Cassy
Ca'stalk	Ca'stalk
cast-away	castaway
casted	cast
castedst	castedest
casteth	casts
castle-Building	castle-building
cat-a-mountain	catamountain
catchin'	catching
catechize	catechise
cathecism	catechism
cauf	calf
caus'd	caused
'cause	because
causeth	causes
cavaleiro	cavalero
cavalery	cavalero
cavalrie	cavalry
caverton-Edge	caverton-edge
caviare	caviar
cavilling	caviling
ceaseth	ceases
ceassed	ceased
center	centre
'cerns	concerns
cesse	cease
chaces	chases
chamber-councils	chamber-counsels
chambre	chamber
cham'er	chamber
Ch'am-maid	Chambermaid
chapellin'	chapeling
chap-fallen	chapfallen
chapmen's	chapman's
chappellin'	chapeling
charg'd	charged
chargeth	charges
Charing-cross	Charingcross
Charles's	Charles'
charmeth	charms
charnel-house	charnelhouse
charrit	chariot
chaseth	chases
chasin'	chasing
chasten'd	chastened
chasteneth	chastens
CHATHAM	Chatham
chat-Moss	chat-moss
chaunt	chant
CHE	I
check'd	checked
checkered	chequered
cheecks	cheeks
cheer'st	cheerest
cherry-stone	cherrystone
Cheshu	Jesu
CHESNEY	Chesney
chid'st	chidest
childe	child
childer	children
child-like	childlike
childre	children
chil'en	children
chile's	child's
chimnies	chimneys
CHINA	China
chirrah	sirrah
chiselled	chiseled
CHISWICK	Chiswick
choaking	choking
chollors	cholers
chooseth	chooses
chops	chaps
chorusses	choruses
chosing	choosing
chozzen	chosen
Chrish	Christ
Christen	Christian
christenin'	christening
christian	Christian
christmas-day	christmasday
Christom	Christian
Christophero	Christopher
church-way	churchway
church-Yard	church-yard
chuse	choose
chuses	chooses
chusing	choosing
cibil	civil
'cide	decide
Circes	Circe's
civil'st	civilest
clapper-claw	clapperclaw
clapper-de-claw	clapperclaw
clapt	clapped
clar	clear
Clarence'	Clarence's
clarin'	declaring
CLARISSA	Clarissa
clar't	claret
cleanin'	cleaning
cleaved	cleft
Clelias	Clelia's
clepeth	clepes
clept	cleped
clere	clear
clergy's	clergies'
clerk-like	clerklike
CLEVELAND	Cleveland
'climating	acclimating
climbeth	climbs
'clined	inclined
clippeth	clips
cliverer	cleverer
cloised	closed
cloo'as	clothes
cloose	clothes
close-stool	closestool
closly	closely
cloths	clothes
cmotions	emotions
coal-black	coalblack
coasteth	coasts
cocoa-Tree	cocoa-tree
co-equal	coequal
coffee-House	coffee-house
coffin-colored	coffin-coloured
coflicting	conflicting
cogscomb	coxcomb
co-heirs	coheirs
cold-blooded	coldblooded
cold-hearted	coldhearted
cold'st	coldest
COLEMAN	Coleman
collectin'	collecting
color	colour
colored	coloured
colors	colours
Color-Serjeant	Color-serjeant
colour-Sergeants	colour-sergeants
comboined	combined
com'd	came
comed	came
come's	comes
cometh	comes
comforteth	comforts
comin	coming
comin'	coming
commander-in-Chief	commander-in-chief
command'st	commandest
commed	came
'commend	recommend
commin	coming
commit'st	committest
'commodate	accommodate
'commodation acommodation
common-place	commonplace
common'st	commonest
compasseth	compasses
complainin'	complaining
complements	compliments
'complice acomplice
compos'd	composed
compremises	compromises
compt	count
com'st	comest
CONAN	Conan
concerneth	concerns
confesseth	confesses
confidantes	confidants
confidentia'	confidential
con-found	confound
congied	congeed
'conomy economy
conscience'	conscience's
considable	considerable
considerin	considering
considerin'	considering
consience	conscience
consisteth	consists
consort'st	consortest
constraineth	constrains
contemned'st	contemnedest
content-a	content
contenteth	contents
contrairies	contraries
contrairy	contrary
contrivedst	contrivedest
controule	control
conven'ent	convenient
cony-catching	conycatching
cookin'	cooking
cookit	cooked
cook's-Courtiers	cook's-courtiers
coom	come
coomin'	coming
coorted	courted
coortin'	courting
coorting	courting
co-partners	copartners
'cordin'	according
corn-field	cornfield
coronetted	coroneted
corrivalled	corrivaled
corse	corpse
corses	corpses
'cos because
cosey	cosy
cotch	catch
cotched	catched
cotchin'	catching
coucheth	couches
cou'd	could
couldna	couldn't
could-na	couldn't
could'st	couldst
could't	couldn't
council-board	councilboard
counselled	counseled
'count	account
countcardinal	count-cardinal
counterfeit'st	counterfeitest
country-seat	countryseat
'counts	accounts
courte	court
courtezan	courtesan
court-gate	courtgate
court-Guide	court-guide
coustusmes	customs
covereth	covers
covert'st	covertest
cow-dung	cowdung
cowl-staff	cowlstaff
coystrill	coystril
crab-tree	crabtree
crab-trees	crabtrees
crackin	cracking
crackin'	cracking
cracklin'	crackling
Crahnr's'	Crahnr's
craveth	craves
CRAWLEY	Crawley
CRAWLEY'S	Crawley's
creatur	creature
creatur'	creature
creaturs	creatures
creatur's	creature's
creeped	crept
creetur	creature
Cressids	Cressidas
Cressid's	Cressida's
crest-fallen	crestfallen
cretur	creature
creturs	creatures
cretur's	creature's
criedst	criedest
crieth	cries
critters	creatures
crittur	creature
critturs	creatures
crittur's	creature's
crook-knee'd	crook-kneed
'cross	across
cross-bow	crossbow
cross-bows	crossbows
crossin	crossing
crossin'	crossing
cross-row	crossrow
crueller	crueler
cruellest	cruelest
cruell'st	cruelest
crueltys	cruelty's
crusheth	crushes
cryin'	crying
cudgelled	cudgeled
cudgelling	cudgeling
CUFF'S	Cuff's
cultivatin'	cultivating
cum	came
cunning'st	cunningest
curis	curious
curi's	curious
curous	curious
cur'ous	curious
cursed'st	cursedest
curst	cursed
curstest	cursedest
curtesie	courtesy
curtseys	curtsies
curvetted	curveted
curvetting	curveting
cussed	cursed
cussedest	cursedest
cussin'	cursing
custom-House	custom-house
'cute	acute
'cuteness	acuteness
cut-throat	cutthroat
cuttin'	cutting
cuttit	cut
cutt'st	cuttest
cvidently	evidently
cymballed	cymbaled
cyphers	ciphers
'd	would
d*mn	damn
D*mn	Damn
DAGGOO	Daggoo
dahn	down
daht	that
dam'	damned
dame's	dam's
damme	damn
damm'st	dammest
dam'n	damn
damn'd	damned
damndest	damnedest
damned'st	damnedest
damp'd	damped
dan	than
danceth	dances
dancin'	dancing
danc'st	dancest
dan-gerous	dangerous
danglin'	dangling
danish	Danish
daring'st	daringest
darken'd	darkened
darlin	darling
darn't	daren't
dar's	there's
dar'st	darest
dat	that
dat's	that's
daugther	daughter
dauhter-in-law	daughter-in-law
dawg	dog
dawgs	dogs
dawnin'	dawning
day's-wark	day's-work
DAYVLE	Dayvle
daz'd	dazed
dazzleth	dazzles
dear-a	dear
dearn	dern
dear'st	dearest
death-like	deathlike
death-practised	death-practiced
death's-bed	deathbed
debateth	debates
debel	devil
